zip,market,tier
37011,Nashville,core
37013,Nashville,core
37066,Nashville,core
37070,Nashville,core
37071,Nashville,core
37072,Nashville,core
37075,Nashville,core
37076,Nashville,core
37077,Nashville,core
37086,Nashville,core
37087,Nashville,core
37088,Nashville,core
37089,Nashville,core
37090,Nashville,core
37115,Nashville,core
37116,Nashville,core
37122,Nashville,core
37129,Nashville,core
37138,Nashville,core
37152,Nashville,core
37167,Nashville,core
37201,Nashville,core
37203,Nashville,core
37204,Nashville,core
37205,Nashville,core
37206,Nashville,core
37207,Nashville,core
37208,Nashville,core
37209,Nashville,core
37210,Nashville,core
37211,Nashville,core
37212,Nashville,core
37213,Nashville,core
37214,Nashville,core
37216,Nashville,core
37217,Nashville,core
37218,Nashville,core
37219,Nashville,core
37220,Nashville,core
37222,Nashville,core
37224,Nashville,core
37227,Nashville,core
37228,Nashville,core
37229,Nashville,core
37230,Nashville,core
37232,Nashville,core
37234,Nashville,core
37235,Nashville,core
37236,Nashville,core
37238,Nashville,core
37240,Nashville,core
37241,Nashville,core
37242,Nashville,core
37243,Nashville,core
37244,Nashville,core
37246,Nashville,core
37250,Nashville,core
37189,Nashville,core
37014,Nashville,adj
37015,Nashville,adj
37022,Nashville,adj
37024,Nashville,adj
37027,Nashville,adj
37030,Nashville,adj
37031,Nashville,adj
37046,Nashville,adj
37048,Nashville,adj
37057,Nashville,adj
37064,Nashville,adj
37067,Nashville,adj
37069,Nashville,adj
37073,Nashville,adj
37074,Nashville,adj
37080,Nashville,adj
37082,Nashville,adj
37085,Nashville,adj
37118,Nashville,adj
37121,Nashville,adj
37127,Nashville,adj
37128,Nashville,adj
37130,Nashville,adj
37131,Nashville,adj
37132,Nashville,adj
37133,Nashville,adj
37135,Nashville,adj
37136,Nashville,adj
37143,Nashville,adj
37148,Nashville,adj
37151,Nashville,adj
37153,Nashville,adj
37172,Nashville,adj
37184,Nashville,adj
37187,Nashville,adj
37188,Nashville,adj
37202,Nashville,adj
37221,Nashville,adj
38563,Nashville,adj
30002,Atlanta,core
30006,Atlanta,core
30008,Atlanta,core
30030,Atlanta,core
30031,Atlanta,core
30032,Atlanta,core
30033,Atlanta,core
30034,Atlanta,core
30036,Atlanta,core
30037,Atlanta,core
30060,Atlanta,core
30061,Atlanta,core
30063,Atlanta,core
30064,Atlanta,core
30069,Atlanta,core
30079,Atlanta,core
30080,Atlanta,core
30081,Atlanta,core
30082,Atlanta,core
30090,Atlanta,core
30106,Atlanta,core
30111,Atlanta,core
30122,Atlanta,core
30126,Atlanta,core
30127,Atlanta,core
30168,Atlanta,core
30213,Atlanta,core
30236,Atlanta,core
30237,Atlanta,core
30260,Atlanta,core
30272,Atlanta,core
30274,Atlanta,core
30287,Atlanta,core
30288,Atlanta,core
30291,Atlanta,core
30294,Atlanta,core
30296,Atlanta,core
30297,Atlanta,core
30298,Atlanta,core
30301,Atlanta,core
30302,Atlanta,core
30303,Atlanta,core
30304,Atlanta,core
30305,Atlanta,core
30306,Atlanta,core
30307,Atlanta,core
30308,Atlanta,core
30309,Atlanta,core
30310,Atlanta,core
30311,Atlanta,core
30312,Atlanta,core
30313,Atlanta,core
30314,Atlanta,core
30315,Atlanta,core
30316,Atlanta,core
30317,Atlanta,core
30318,Atlanta,core
30319,Atlanta,core
30320,Atlanta,core
30321,Atlanta,core
30322,Atlanta,core
30324,Atlanta,core
30325,Atlanta,core
30326,Atlanta,core
30327,Atlanta,core
30328,Atlanta,core
30329,Atlanta,core
30331,Atlanta,core
30332,Atlanta,core
30333,Atlanta,core
30334,Atlanta,core
30336,Atlanta,core
30337,Atlanta,core
30338,Atlanta,core
30339,Atlanta,core
30341,Atlanta,core
30342,Atlanta,core
30343,Atlanta,core
30344,Atlanta,core
30345,Atlanta,core
30346,Atlanta,core
30348,Atlanta,core
30349,Atlanta,core
30353,Atlanta,core
30354,Atlanta,core
30355,Atlanta,core
30356,Atlanta,core
30357,Atlanta,core
30358,Atlanta,core
30359,Atlanta,core
30361,Atlanta,core
30363,Atlanta,core
30364,Atlanta,core
30366,Atlanta,core
30368,Atlanta,core
30369,Atlanta,core
30370,Atlanta,core
30371,Atlanta,core
30374,Atlanta,core
30375,Atlanta,core
30377,Atlanta,core
30378,Atlanta,core
30380,Atlanta,core
30385,Atlanta,core
30388,Atlanta,core
30392,Atlanta,core
30394,Atlanta,core
30396,Atlanta,core
30398,Atlanta,core
31106,Atlanta,core
31107,Atlanta,core
31119,Atlanta,core
31126,Atlanta,core
31131,Atlanta,core
31139,Atlanta,core
31141,Atlanta,core
31146,Atlanta,core
31156,Atlanta,core
31192,Atlanta,core
31193,Atlanta,core
31195,Atlanta,core
31196,Atlanta,core
39901,Atlanta,core
30003,Atlanta,adj
30004,Atlanta,adj
30005,Atlanta,adj
30007,Atlanta,adj
30009,Atlanta,adj
30010,Atlanta,adj
30012,Atlanta,adj
30017,Atlanta,adj
30021,Atlanta,adj
30022,Atlanta,adj
30023,Atlanta,adj
30024,Atlanta,adj
30026,Atlanta,adj
30029,Atlanta,adj
30035,Atlanta,adj
30038,Atlanta,adj
30039,Atlanta,adj
30042,Atlanta,adj
30043,Atlanta,adj
30044,Atlanta,adj
30045,Atlanta,adj
30046,Atlanta,adj
30047,Atlanta,adj
30048,Atlanta,adj
30052,Atlanta,adj
30058,Atlanta,adj
30062,Atlanta,adj
30065,Atlanta,adj
30066,Atlanta,adj
30067,Atlanta,adj
30068,Atlanta,adj
30071,Atlanta,adj
30072,Atlanta,adj
30074,Atlanta,adj
30075,Atlanta,adj
30076,Atlanta,adj
30077,Atlanta,adj
30078,Atlanta,adj
30083,Atlanta,adj
30084,Atlanta,adj
30085,Atlanta,adj
30086,Atlanta,adj
30087,Atlanta,adj
30088,Atlanta,adj
30091,Atlanta,adj
30092,Atlanta,adj
30093,Atlanta,adj
30094,Atlanta,adj
30095,Atlanta,adj
30096,Atlanta,adj
30097,Atlanta,adj
30098,Atlanta,adj
30099,Atlanta,adj
30101,Atlanta,adj
30102,Atlanta,adj
30133,Atlanta,adj
30134,Atlanta,adj
30135,Atlanta,adj
30141,Atlanta,adj
30144,Atlanta,adj
30152,Atlanta,adj
30154,Atlanta,adj
30156,Atlanta,adj
30157,Atlanta,adj
30160,Atlanta,adj
30180,Atlanta,adj
30187,Atlanta,adj
30188,Atlanta,adj
30214,Atlanta,adj
30215,Atlanta,adj
30228,Atlanta,adj
30238,Atlanta,adj
30250,Atlanta,adj
30252,Atlanta,adj
30253,Atlanta,adj
30265,Atlanta,adj
30268,Atlanta,adj
30269,Atlanta,adj
30273,Atlanta,adj
30277,Atlanta,adj
30281,Atlanta,adj
30290,Atlanta,adj
30340,Atlanta,adj
30350,Atlanta,adj
30360,Atlanta,adj
30362,Atlanta,adj
30384,Atlanta,adj
31136,Atlanta,adj
31144,Atlanta,adj
31145,Atlanta,adj
31150,Atlanta,adj
30120,Atlanta,exp
73301,Austin,core
73344,Austin,core
78617,Austin,core
78651,Austin,core
78660,Austin,core
78664,Austin,core
78681,Austin,core
78682,Austin,core
78701,Austin,core
78702,Austin,core
78703,Austin,core
78704,Austin,core
78705,Austin,core
78708,Austin,core
78710,Austin,core
78711,Austin,core
78712,Austin,core
78713,Austin,core
78714,Austin,core
78715,Austin,core
78718,Austin,core
78719,Austin,core
78720,Austin,core
78721,Austin,core
78722,Austin,core
78723,Austin,core
78724,Austin,core
78725,Austin,core
78727,Austin,core
78728,Austin,core
78729,Austin,core
78731,Austin,core
78741,Austin,core
78742,Austin,core
78744,Austin,core
78745,Austin,core
78746,Austin,core
78750,Austin,core
78751,Austin,core
78752,Austin,core
78753,Austin,core
78754,Austin,core
78755,Austin,core
78756,Austin,core
78757,Austin,core
78758,Austin,core
78759,Austin,core
78761,Austin,core
78762,Austin,core
78763,Austin,core
78764,Austin,core
78765,Austin,core
78766,Austin,core
78767,Austin,core
78768,Austin,core
78769,Austin,core
78772,Austin,core
78773,Austin,core
78774,Austin,core
78778,Austin,core
78779,Austin,core
78783,Austin,core
76574,Austin,adj
78610,Austin,adj
78612,Austin,adj
78613,Austin,adj
78615,Austin,adj
78616,Austin,adj
78621,Austin,adj
78626,Austin,adj
78628,Austin,adj
78630,Austin,adj
78634,Austin,adj
78641,Austin,adj
78652,Austin,adj
78653,Austin,adj
78665,Austin,adj
78680,Austin,adj
78683,Austin,adj
78691,Austin,adj
78709,Austin,adj
78716,Austin,adj
78717,Austin,adj
78726,Austin,adj
78730,Austin,adj
78732,Austin,adj
78733,Austin,adj
78734,Austin,adj
78735,Austin,adj
78736,Austin,adj
78737,Austin,adj
78738,Austin,adj
78739,Austin,adj
78747,Austin,adj
78748,Austin,adj
78749,Austin,adj
78760,Austin,adj
