zip,market,tier,state,lat,lng
83236,"Non-compliant",nc,ID,43.3021,-112.1588
33782,"Out of Coverage",ooc,FL,27.8681,-82.7086
06029,"Out of Coverage",ooc,CT,41.9114,-72.4626
85324,"Out of Coverage",ooc,AZ,34.0755,-112.1340
36538,"Non-compliant",nc,AL,31.6468,-88.1332
39361,"Non-compliant",nc,MS,32.9769,-88.5594
41064,"Out of Coverage",ooc,KY,38.5218,-84.0480
51656,"Non-compliant",nc,IA,40.7374,-95.1562
21872,"Non-compliant",nc,MD,38.4121,-75.2811
58568,"Non-compliant",nc,ND,46.0351,-101.1502
50538,"Non-compliant",nc,IA,42.2692,-94.4226
54010,"Non-compliant",nc,WI,44.7348,-92.4655
84334,"Non-compliant",nc,UT,41.7868,-112.1467
11762,"Non-compliant",nc,NY,40.6807,-73.4444
30446,"Out of Coverage",ooc,GA,32.5810,-81.4826
84317,"Non-compliant",nc,UT,41.2721,-111.7618
07830,"Out of Coverage",ooc,NJ,40.7162,-74.8152
77564,"Out of Coverage",ooc,TX,30.1463,-94.6424
99608,"Non-compliant",nc,AK,57.5689,-154.4551
96728,"Non-compliant",nc,HI,19.8728,-155.1177
45660,"Out of Coverage",ooc,OH,38.9869,-83.3687
66425,"Non-compliant",nc,KS,39.8445,-95.7110
48856,"Non-compliant",nc,MI,43.1689,-84.7552
59829,"Non-compliant",nc,MT,46.0280,-114.1938
22812,"Non-compliant",nc,VA,38.3859,-78.9937
47536,"Non-compliant",nc,IN,38.1114,-86.8361
83552,"Non-compliant",nc,ID,46.0020,-115.9269
60468,"Out of Coverage",ooc,IL,41.3361,-87.7897
49310,"Non-compliant",nc,MI,43.5228,-85.0589
37870,"Out of Coverage",ooc,TN,36.4797,-83.8135
78403,"Out of Coverage",ooc,TX,27.7770,-97.4632
44441,"Out of Coverage",ooc,OH,40.7579,-80.5530
79325,"Out of Coverage",ooc,TX,34.3860,-102.9901
40447,"Out of Coverage",ooc,KY,37.4338,-84.0251
13304,"Non-compliant",nc,NY,43.2237,-75.1612
38449,"Out of Coverage",ooc,TN,35.0574,-86.8796
47463,"Non-compliant",nc,IN,39.0859,-86.6689
13812,"Non-compliant",nc,NY,42.0301,-76.3540
99017,"Non-compliant",nc,WA,47.1887,-117.8755
63446,"Non-compliant",nc,MO,40.1384,-92.0077
74342,"Non-compliant",nc,OK,36.4063,-94.9157
79493,"Out of Coverage",ooc,TX,33.6100,-101.8213
72072,"Non-compliant",nc,AR,34.4857,-91.7624
08348,"Out of Coverage",ooc,NJ,39.3131,-74.9807
97431,"Non-compliant",nc,OR,43.9217,-122.8424
54221,"Non-compliant",nc,WI,44.1323,-87.5990
28380,"Out of Coverage",ooc,NC,34.9942,-79.7673
70006,"Non-compliant",nc,LA,30.0129,-90.1915
74359,"Non-compliant",nc,OK,36.1662,-94.8547
26547,"Non-compliant",nc,WV,39.5127,-79.8120
25396,"Non-compliant",nc,WV,38.3498,-81.6326
17569,"Non-compliant",nc,PA,40.2688,-76.1013
15647,"Non-compliant",nc,PA,40.3453,-79.7264
16373,"Non-compliant",nc,PA,41.2028,-79.7470
62279,"Out of Coverage",ooc,IL,38.1521,-90.1346
07649,"Out of Coverage",ooc,NJ,40.9535,-74.0335
70501,"Non-compliant",nc,LA,30.2361,-92.0083
06813,"Out of Coverage",ooc,CT,41.3948,-73.4540
28449,"Out of Coverage",ooc,NC,33.9927,-77.9099
78586,"Out of Coverage",ooc,TX,26.1337,-97.6447
62413,"Out of Coverage",ooc,IL,39.1179,-87.8029
35812,"Non-compliant",nc,AL,34.7340,-86.5229
26410,"Non-compliant",nc,WV,39.4027,-79.8280
32959,"Out of Coverage",ooc,FL,28.3067,-80.6862
27343,"Out of Coverage",ooc,NC,36.5114,-79.0942
12424,"Non-compliant",nc,NY,42.2469,-74.1353
74027,"Non-compliant",nc,OK,36.7804,-95.6181
70804,"Non-compliant",nc,LA,30.3863,-91.1339
76634,"Out of Coverage",ooc,TX,31.7918,-97.5203
74002,"Non-compliant",nc,OK,36.5429,-96.1318
70068,"Non-compliant",nc,LA,30.0777,-90.4895
49755,"Non-compliant",nc,MI,45.6377,-84.7986
67068,"Non-compliant",nc,KS,37.5964,-98.1304
99012,"Non-compliant",nc,WA,47.3987,-117.1921
27982,"Out of Coverage",ooc,NC,35.5650,-75.4663
31535,"Out of Coverage",ooc,GA,31.4551,-82.8561
83857,"Non-compliant",nc,ID,46.8996,-116.8287
47140,"Non-compliant",nc,IN,38.3736,-86.3578
56033,"Non-compliant",nc,MN,43.5638,-93.9361
52030,"Non-compliant",nc,IA,42.1536,-90.5924
03750,"Non-compliant",nc,NH,43.7113,-72.2125
44643,"Out of Coverage",ooc,OH,40.6514,-81.3076
78071,"Out of Coverage",ooc,TX,28.4756,-98.1782
75169,"Out of Coverage",ooc,TX,32.7283,-96.0079
63348,"Non-compliant",nc,MO,38.7626,-90.9343
29681,"Out of Coverage",ooc,SC,34.7512,-82.2550
88252,"Non-compliant",nc,NM,32.1128,-103.1997
98579,"Non-compliant",nc,WA,46.8193,-123.0406
06132,"Out of Coverage",ooc,CT,41.7637,-72.6851
42303,"Out of Coverage",ooc,KY,37.7559,-87.0803
26178,"Non-compliant",nc,WV,39.0671,-81.0620
58721,"Non-compliant",nc,ND,48.8378,-102.2839
75686,"Out of Coverage",ooc,TX,32.9623,-94.9603
97466,"Non-compliant",nc,OR,42.8800,-124.0709
